date,issues
'2018-01-10 12:47:11',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-11 00:00:00',0
'2018-02-12 22:55:08',0
'2018-02-12 22:55:08',1
'2018-02-12 22:55:08',2
'2018-02-13 10:51:48',2
'2018-02-13 10:51:48',2
'2018-02-13 17:22:50',3
'2018-02-18 00:00:00',3
'2018-02-18 00:00:00',3
'2018-02-18 00:00:00',3
'2018-02-18 00:00:00',3
'2018-02-18 00:00:00',3
'2018-02-18 09:48:51',4
'2018-02-23 12:17:04',5
'2018-02-23 12:17:04',6
'2018-02-27 12:47:35',6
'2018-03-11 00:00:00',6
'2018-03-11 00:00:00',6
'2018-03-11 00:00:00',6
'2018-03-11 00:00:00',6
'2018-03-11 00:00:00',6
'2018-03-11 00:00:00',6
'2018-03-11 00:00:00',6
'2018-04-11 09:02:50',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-15 00:00:00',6
'2018-04-25 13:08:25',7
'2018-05-07 12:38:53',8
'2018-05-07 12:38:53',8
'2018-05-07 12:38:53',9
'2018-05-07 12:38:53',10
'2018-05-07 12:38:53',11
'2018-05-07 12:38:53',12
