date,"Closed / Merged"
'2018-01-10',1
'2018-02-12',2
'2018-02-14',4
'2018-02-15',4
'2018-02-17',6
'2018-02-18',9
'2018-02-25',9
'2018-02-27',14
'2018-02-28',20
'2018-03-01',21
'2018-03-02',21
'2018-03-06',22
'2018-03-09',30
'2018-03-10',30
'2018-03-11',31
'2018-03-12',35
'2018-03-13',37
'2018-03-14',41
'2018-03-15',45
'2018-03-16',46
'2018-03-19',47
'2018-03-20',50
'2018-03-23',52
'2018-03-24',54
'2018-03-26',56
'2018-03-27',60
'2018-03-28',63
'2018-03-29',67
'2018-04-04',72
'2018-04-05',74
'2018-04-06',76
'2018-04-09',78
'2018-04-10',80
'2018-04-11',81
'2018-04-12',86
'2018-04-13',90
'2018-04-14',93
'2018-04-15',93
'2018-04-16',98
'2018-04-17',101
'2018-04-18',104
'2018-04-19',106
'2018-04-20',108
'2018-04-23',109
'2018-04-24',111
'2018-04-25',113
'2018-05-04',115
'2018-05-05',116
'2018-05-06',117
'2018-05-07',123
'2018-05-08',123
'2018-05-09',124
'2018-05-16',128
'2018-05-17',129
'2018-05-20',130
'2018-05-22',131
'2018-05-23',132
'2018-05-25',133
'2018-05-27',134
'2018-05-28',136
'2018-05-29',138
'2018-05-30',140
'2018-06-03',144
'2018-06-07',146
'2018-06-08',147
'2018-06-09',148
'2018-06-10',150
'2018-06-11',154
'2018-06-12',164
'2018-06-13',166
'2018-06-14',170
'2018-06-15',172
'2018-06-18',174
'2018-06-20',175
'2018-07-01',176
'2018-07-02',177
'2018-07-04',180
'2018-07-06',181
'2018-07-11',187
'2018-07-12',191
'2018-07-13',195
'2018-07-16',199
'2018-07-17',203
'2018-07-18',206
'2018-07-31',207
'2018-08-02',210
'2018-08-03',213
'2018-08-06',225
'2018-08-07',238
'2018-08-08',252
'2018-08-09',281
'2018-08-10',296
'2018-08-11',297
'2018-08-12',299
'2018-08-13',300
'2018-08-14',314
'2018-08-15',323
'2018-08-16',329
'2018-08-17',331
'2018-08-18',332
'2018-08-20',342
'2018-08-21',345
'2018-08-22',349
'2018-08-27',349
'2018-08-31',350
'2018-09-05',352
'2018-09-06',354
'2018-09-07',355
'2018-09-08',357
'2018-09-09',358
'2018-09-11',363
'2018-09-12',364
'2018-09-17',365
'2018-09-18',365
'2018-09-19',368
'2018-09-20',369
'2018-09-21',370
'2018-09-24',373
'2018-09-25',375
'2018-09-26',376
'2018-09-28',381
'2018-10-01',385
'2018-10-02',387
'2018-10-03',388
'2018-10-04',390
'2018-10-05',407
'2018-10-08',416
'2018-10-09',418
'2018-10-10',424
'2018-10-11',426
'2018-10-12',432
'2018-10-13',439
'2018-10-14',444
'2018-10-15',449
'2018-10-16',451
'2018-10-17',453
'2018-10-18',454
'2018-10-19',456
'2018-10-20',457
'2018-10-21',459
'2018-10-23',462
'2018-10-24',465
'2018-10-25',469
'2018-10-26',470
'2018-10-27',471
'2018-11-01',471
'2018-11-02',473
'2018-11-03',475
'2018-11-04',477
'2018-11-05',480
'2018-11-06',485
'2018-11-07',487
'2018-11-08',489
'2018-11-11',490
'2018-11-12',494
'2018-11-13',496
'2018-11-15',497
'2018-11-16',499
'2018-11-17',501
'2018-11-18',501
'2018-11-19',510
'2018-11-20',520
'2018-11-21',527
'2018-11-22',529
'2018-11-23',534
'2018-11-24',535
'2018-11-25',535
'2018-11-26',541
'2018-11-27',547
'2018-11-28',549
'2018-11-29',553
'2018-11-30',556
'2018-12-01',558
'2018-12-03',559
'2018-12-04',563
'2018-12-05',568
'2018-12-06',571
'2018-12-07',575
'2018-12-08',576
'2018-12-09',579
'2018-12-10',581
'2018-12-11',589
'2018-12-12',605
'2018-12-13',607
'2018-12-15',613
'2018-12-17',615
'2018-12-18',618
'2018-12-19',622
'2018-12-21',626
'2018-12-22',628
'2018-12-23',629
'2018-12-25',630
'2018-12-26',633
'2018-12-28',634
'2018-12-30',635
'2019-01-02',639
'2019-01-03',645
'2019-01-04',647
'2019-01-05',648
'2019-01-07',666
'2019-01-08',672
'2019-01-09',681
'2019-01-10',686
'2019-01-11',693
'2019-01-12',693
'2019-01-13',694
'2019-01-14',696
'2019-01-15',698
'2019-01-16',699
'2019-01-17',700
'2019-01-18',701
'2019-01-19',702
'2019-01-20',703
'2019-01-21',708
'2019-01-22',709
'2019-01-23',710
'2019-01-24',715
'2019-01-25',719
'2019-01-26',721
'2019-01-27',724
'2019-01-28',730
'2019-01-29',733
'2019-01-30',734
'2019-01-31',739
'2019-02-01',747
'2019-02-02',749
'2019-02-04',752
'2019-02-05',758
'2019-02-06',761
'2019-02-07',763
'2019-02-08',764
'2019-02-09',768
'2019-02-10',768
'2019-02-11',771
'2019-02-13',773
'2019-02-14',775
'2019-02-15',778
'2019-02-16',779
'2019-02-17',780
'2019-02-18',785
'2019-02-19',788
'2019-02-20',789
'2019-02-21',793
'2019-02-22',797
'2019-02-25',801
'2019-02-26',805
'2019-02-27',810
'2019-02-28',813
'2019-03-01',814
'2019-03-02',814
'2019-03-04',821
'2019-03-05',836
'2019-03-06',851
'2019-03-07',856
'2019-03-08',859
'2019-03-11',861
'2019-03-12',868
'2019-03-13',879
'2019-03-14',881
'2019-03-15',886
'2019-03-16',890
'2019-03-17',893
'2019-03-18',896
'2019-03-19',898
'2019-03-20',900
'2019-03-21',902
'2019-03-22',903
'2019-03-23',903
'2019-03-24',903
'2019-03-25',907
'2019-03-26',911
'2019-03-27',915
'2019-03-29',917
'2019-03-30',917
'2019-03-31',920
'2019-04-01',922
'2019-04-02',924
'2019-04-03',925
'2019-04-04',925
'2019-04-05',929
'2019-04-06',931
'2019-04-07',938
'2019-04-08',951
'2019-04-09',978
'2019-04-10',991
'2019-04-11',994
'2019-04-12',995
'2019-04-13',996
'2019-04-14',1003
'2019-04-15',1018
'2019-04-16',1023
'2019-04-17',1025
'2019-04-18',1029
'2019-04-19',1032
'2019-04-23',1034
'2019-04-24',1039
'2019-04-25',1043
'2019-04-26',1047
'2019-04-27',1047
'2019-04-28',1050
'2019-04-29',1056
'2019-04-30',1065
'2019-05-01',1068
'2019-05-02',1073
'2019-05-03',1079
'2019-05-04',1084
'2019-05-05',1085
'2019-05-06',1092
'2019-05-07',1096
'2019-05-08',1099
'2019-05-09',1101
'2019-05-10',1108
'2019-05-11',1109
'2019-05-12',1111
'2019-05-13',1111
'2019-05-14',1114
'2019-05-15',1117
'2019-05-16',1118
'2019-05-17',1120
'2019-05-20',1120
'2019-05-21',1123
'2019-05-22',1128
'2019-05-23',1129
'2019-05-24',1133
'2019-05-27',1133
'2019-05-28',1134
'2019-05-29',1138
'2019-05-30',1143
'2019-05-31',1150
'2019-06-01',1150
'2019-06-02',1151
'2019-06-03',1155
'2019-06-04',1158
'2019-06-05',1166
'2019-06-06',1173
'2019-06-07',1175
'2019-06-08',1180
'2019-06-09',1184
'2019-06-10',1190
'2019-06-11',1191
'2019-06-12',1196
'2019-06-13',1198
'2019-06-14',1201
'2019-06-15',1202
'2019-06-16',1202
'2019-06-17',1205
'2019-06-18',1207
'2019-06-19',1209
'2019-06-20',1211
'2019-06-21',1212
'2019-06-22',1212
'2019-06-23',1216
'2019-06-24',1220
'2019-06-25',1231
'2019-06-26',1232
'2019-06-27',1235
'2019-06-28',1238
'2019-06-29',1238
'2019-06-30',1238
'2019-07-01',1239
'2019-07-02',1239
'2019-07-03',1242
'2019-07-04',1243
'2019-07-05',1246
'2019-07-06',1246
'2019-07-07',1246
'2019-07-08',1249
'2019-07-09',1249
'2019-07-10',1250
'2019-07-11',1252
'2019-07-12',1258
'2019-07-13',1258
'2019-07-15',1259
'2019-07-16',1260
'2019-07-17',1262
'2019-07-18',1268
'2019-07-19',1270
'2019-07-20',1272
'2019-07-21',1274
'2019-07-22',1277
'2019-07-23',1281
'2019-07-24',1284
'2019-07-25',1289
'2019-07-26',1295
'2019-07-27',1296
'2019-07-29',1303
'2019-07-30',1311
'2019-07-31',1321
'2019-08-01',1328
'2019-08-02',1334
'2019-08-03',1335
'2019-08-04',1336
